,What is your gender?,What age bracket are you in?,Are you pursuing an undergraduate or graduate degree?,Are you a domestic or international student?,Are you a full-time or part-time student?,What is your year of study?,What program are you currently enrolled in?,What university are you attending?,Did you own a computer/laptop for online learning during the pandemic?,How did you access your course material during the pandemic?,What online communication services did you use during the pandemic?,Was it easy to adapt to new learning communication services during the online learning?,Was the communication clear and helpful about the pandemic provided by the university?,Did you have a quiet and safe place to study during the pandemic?,How do you describe online learning compared to in-person learning?,Were you motivated during online learning to attend or stay in class?,Where did you spend most of your time studying during the pandemic?,Did you manage your time more effectively and efficiently compared to in-person?,How much effort did you put into online learning compared to in-person during the pandemic?,Did the university provide you with tutoring services during the pandemic?,Did the professors post the recorded lectures during the pandemic?,Was it easy to learn from recorded lectures compare to in-person?,Did the professor provide you with flexible hours to work on your coursework during the pandemic?,Did the professors conduct virtual office hours and were they easy to access during the pandemic?,Was it easy to communicate with your professors during online learning?,Were you comfortable communicating and expressing your opinion with the professors during online learning/office hours?,Did your professor give you enough time to discuss course material during online learning?,Did you have a good relationship with your professor compared to in-person during the online learning environment?,Did the professor use the online technology provided efficiently during the online learning?,Did you change your degree or field of specialization during the pandemic?,Did you lose opportunities in terms of research/internship during the pandemic?,Was it easy to use the services of the academic advising/student services during the pandemic?,"When the university opened back (hybrid learning), were you forced to withdraw from certain courses due to the proof of vaccination directive?",Did you have access to services such as sports centres or extracurriculars during the pandemic?,Were you forced to delay your graduation because of the pandemic?,Did you require extra time for exams/tests/quizzes compared to in-person learning?,Was the grading scale for exams/quizzes/tests fair in online learning compared to in- person?,Did you feel your grade were lower compared to in-person learning?,Did the professor communicate clear exam instructions?,Were you concerned about your personal data during online proctoring?,Do you think you received the same quality of education compared to in-person learning?,Did you feel the course load was heavy during the online learning?,Did you receive feedback on time for your coursework compared to in-person?,How difficult was it to balance school and personal life during the pandemic?,How do you describe your relationship with your peers during online learning?,Was online learning more stressful than in-person learning?,Did you suffer from anxiety or depression during the pandemic?,Did you have access to mental health services from the university during the pandemic?,Were you concerned about your social and emotional health during the pandemic?,Did you face financial difficulty during the pandemic?,What do you think is the best learning process after the pandemic?,Are you concerned with online learning environment having an impact entering the job market?,"If other, please specify below"
82,Male,23-26,Undergraduate Degree,Domestic,Full time,Year 2,Bachelor of Arts,Brock University,Yes,Canvas,Microsoft Team,Moderate,Somewhat Clear,Yes,Difficult to focus,Yes,Home,Similar to in-person,Same effort as in-person learning,Had some difficulty accesssing tutoring services,Few professors posted recorded lectures,Learning curve was similar to in-person learning,Time spent on coursework was similar to in-person learning,Yes,Easy,Occassionally,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,Planning on switching,Opportunities were delayed,Did not use the services,Yes,Yes,Yes,Sometimes,Similar to in-person,Grades were similar to in-person learning,Instructions were somewhat clear,Moderately concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Moderate,Good,Not at all stressful,Rarely,Sometimes because of limited hours,Not at all concerned,Yes,In-person,Moderately concerned,NIL
83,Male,23-26,Undergraduate Degree,Domestic,Full time,Year 2,Bachelor of Arts,Brock University,Yes,Canvas,Microsoft Team,Moderate,Somewhat Clear,Yes,Difficult to focus,Yes,Campus,Yes,Less effort than in-person learning,Yes,Yes,Learning curve was similar to in-person learning,Time spent on coursework was similar to in-person learning,Yes,Easy,Occassionally,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,Planning on switching,Opportunities were delayed,Did not use the services,Yes,Yes,Yes,Sometimes,Similar to in-person,Grades were similar to in-person learning,Instructions were somewhat clear,Moderately concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Moderate,Good,Not at all stressful,Rarely,Sometimes because of limited hours,Not at all concerned,Yes,In-person,Moderately concerned,NIL
90,Male,23-26,Undergraduate Degree,Domestic,Full time,Year 2,Bachelor of Arts,Carleton University,Yes,Blackboard,Zoom,Easy,Yes,Yes,Difficult to focus,Similar to in-person learning,Home,Similar to in-person,Less effort than in-person learning,Yes,Yes,Learning curve was similar to in-person learning,Time spent on coursework was similar to in-person learning,Sometimes had difficulty accessing office hours,Sometimes,Occassionally,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,Planning on switching,Opportunities were delayed,Did not use the services,Yes,Yes,Yes,Sometimes,Too strict,Yes,Instructions were somewhat clear,Not at all concerned,Yes,Yes,Everytime,Easy,Good,Moderately stressful,Rarely,Yes,Not at all concerned,Yes,Online,Moderately concerned,NIL
92,Male,23-26,Undergraduate Degree,Domestic,Full time,Year 2,Bachelor of Arts,Carleton University,Yes,Blackboard,Zoom,Easy,Yes,Yes,Difficult to focus,Similar to in-person learning,Home,Similar to in-person,Less effort than in-person learning,Yes,Yes,Yes,Time spent on coursework was similar to in-person learning,Sometimes had difficulty accessing office hours,Sometimes,Occassionally,Sometimes,Yes,Professor had some difficulty,Planning on switching,Opportunities were delayed,Did not use the services,Yes,Yes,Yes,Sometimes,Similar to in-person,Grades were similar to in-person learning,Yes,Moderately concerned,Yes,Course load was comparable to in-person,Everytime,Easy,Good,Extremely stressful,Rarely,Yes,Somewhat concerned,Somtimes,Online,Moderately concerned,NIL
93,Male,27-30,Undergraduate Degree,International Student,Full time,Year 2,Bachelor of Commerce,Lakehead University,Yes,Blackboard,Google Meet,Easy,Yes,Yes,Difficult to focus,Similar to in-person learning,Home,Yes,Same effort as in-person learning,Yes,Yes,Yes,Yes,Yes,Sometimes,Occassionally,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Similar to in-person,Grades were similar to in-person learning,Instructions were somewhat clear,Moderately concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Moderate,Good,Moderately stressful,Rarely,Sometimes because of limited hours,Somewhat concerned,Somtimes,Online,Moderately concerned,NIL
100,Female,18-22,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Arts,Lakehead University,Yes,Blackboard,Zoom,Moderate,Somewhat Clear,Yes,Easy to focus,Similar to in-person learning,Library,Similar to in-person,Same effort as in-person learning,No,Yes,Yes,Time spent on coursework was similar to in-person learning,Yes,Easy,Never,Sometimes,Yes,No,Yes,Opportunities were delayed,Yes,No,Yes,No,Sometimes,Too strict,Yes,Yes,Moderately concerned,Yes,Course load was comparable to in-person,Everytime,Moderate,Good,Extremely stressful,Never,Sometimes because of limited hours,Somewhat concerned,Somtimes,In-person,Extremely concerned,NIL
101,Female,18-22,Undergraduate Degree,Domestic,Full time,Year 2,Bachelor of Arts,University of Guelph,Yes,Blackboard,Google Meet,Moderate,Somewhat Clear,Yes,Difficult to focus,Yes,Friends Home,Similar to in-person,Less effort than in-person learning,Yes,Yes,No,Time spent on coursework was similar to in-person learning,Yes,Sometimes,Occassionally,Never,Yes,Professor had some difficulty,No,Yes,Yes,No,No,Yes,No,Too Lenient,Yes,Yes,Moderately concerned,Yes,Yes,Occasionally,Difficult,Excellent,Moderately stressful,Sometimes,Sometimes because of limited hours,Not at all concerned,Yes,In-person,Moderately concerned,NIL
103,Female,23-26,Graduate Degree,Domestic,Part time,Year 4,Bachelor of Engineering,Ontario Tech University,Shared a device,D2L,Google Meet,Easy,No,Yes,Difficult to focus,Similar to in-person learning,Home,Similar to in-person,Same effort as in-person learning,Yes,No,Learning curve was similar to in-person learning,No,Yes,Sometimes,Never,Sometimes,Yes,Professor had some difficulty,Yes,Yes,Yes,No,Yes,No,Yes,Too strict,Yes,Instructions were somewhat clear,Not at all concerned,Yes,No,Occasionally,Moderate,Good,Extremely stressful,Never,Yes,Somewhat concerned,Somtimes,Online,Moderately concerned,NIL
105,Male,18-22,Undergraduate Degree,Domestic,Part time,Year 3,Bachelor of Arts,Carleton University,Shared a device,D2L,Other,Moderate,No,Yes,Easy to focus,Similar to in-person learning,Home,Yes,Less effort than in-person learning,Yes,Few professors posted recorded lectures,Yes,No,Sometimes had difficulty accessing office hours,Never,Everytime,Never,No,Professor had some difficulty,Planning on switching,Yes,Yes,Yes,No,No,No,Similar to in-person,Yes,Yes,Not at all concerned,No,Course load was comparable to in-person,Occasionally,Moderate,Good,Moderately stressful,Never,Yes,Extremely concerned,Yes,In-person,Moderately concerned,NIL
106,Female,18-22,Undergraduate Degree,Domestic,Full time,Year 1,Other,McMaster University,Yes,D2L,Zoom,Moderate,No,Sometimes,Difficult to focus,No,Home,No,Less effort than in-person learning,No,Yes,Yes,Time spent on coursework was similar to in-person learning,Sometimes had difficulty accessing office hours,Easy,Occassionally,Sometimes,Yes,Professor had some difficulty,No,Yes,Did not use the services,No,No,No,No,Similar to in-person,Grades were similar to in-person learning,Instructions were somewhat clear,Moderately concerned,No,Course load was comparable to in-person,Occasionally,Moderate,Fair,Moderately stressful,Sometimes,Sometimes because of limited hours,Somewhat concerned,Yes,In-person,Moderately concerned,NIL
137,Male,23-26,Undergraduate Degree,Domestic,Part time,Year 5,Bachelor of Arts,University of Waterloo,Yes,Other,Google Meet,Moderate,Somewhat Clear,Yes,Difficult to focus,No,Campus,Yes,Same effort as in-person learning,Had some difficulty accesssing tutoring services,Yes,Yes,Time spent on coursework was similar to in-person learning,Yes,Easy,Occassionally,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,No,Opportunities were delayed,Yes,Yes,Yes,Yes,Sometimes,Similar to in-person,Grades were similar to in-person learning,Instructions were somewhat clear,Moderately concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Moderate,Good,Not at all stressful,Rarely,Sometimes because of limited hours,Somewhat concerned,Somtimes,Online,Extremely concerned,NIL
143,Male,27-30,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Science,Carleton University,Yes,Moodle,Google Meet,Easy,Somewhat Clear,Yes,Difficult to focus,Yes,Home,Similar to in-person,Same effort as in-person learning,Had some difficulty accesssing tutoring services,Few professors posted recorded lectures,Learning curve was similar to in-person learning,Time spent on coursework was similar to in-person learning,Sometimes had difficulty accessing office hours,Easy,Occassionally,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Too strict,Grades were similar to in-person learning,Instructions were somewhat clear,Moderately concerned,Yes,Course load was comparable to in-person,Occasionally,Moderate,Good,Moderately stressful,Rarely,Sometimes because of limited hours,Somewhat concerned,Yes,In-person,Moderately concerned,NIL
144,Male,27-30,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Arts,University of Guelph,Yes,Blackboard,Google Meet,Easy,Yes,Sometimes,Difficult to focus,Yes,Campus,Similar to in-person,Same effort as in-person learning,Had some difficulty accesssing tutoring services,Few professors posted recorded lectures,Learning curve was similar to in-person learning,Time spent on coursework was similar to in-person learning,Sometimes had difficulty accessing office hours,Sometimes,Occassionally,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,Yes,Yes,Did not use the services,Yes,Yes,Yes,Sometimes,Similar to in-person,Grades were similar to in-person learning,Instructions were somewhat clear,Moderately concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Moderate,Good,Moderately stressful,Sometimes,Sometimes because of limited hours,Somewhat concerned,Somtimes,Online,Moderately concerned,NIL
145,Male,27-30,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Arts,Lakehead University,Yes,Blackboard,Google Meet,Moderate,Somewhat Clear,Sometimes,Difficult to focus,Similar to in-person learning,Home,Similar to in-person,Same effort as in-person learning,Had some difficulty accesssing tutoring services,Few professors posted recorded lectures,Learning curve was similar to in-person learning,Time spent on coursework was similar to in-person learning,Sometimes had difficulty accessing office hours,Sometimes,Everytime,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,Planning on switching,Yes,Yes,Yes,Yes,Yes,Yes,Too strict,Grades were similar to in-person learning,Instructions were somewhat clear,Moderately concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Moderate,Good,Moderately stressful,Rarely,Sometimes because of limited hours,Somewhat concerned,Somtimes,In-person,Moderately concerned,NIL
146,Male,27-30,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Arts,Algoma University,Yes,Blackboard,Google Meet,Moderate,Somewhat Clear,Sometimes,Difficult to focus,Similar to in-person learning,Home,Similar to in-person,Same effort as in-person learning,Had some difficulty accesssing tutoring services,Few professors posted recorded lectures,Learning curve was similar to in-person learning,Time spent on coursework was similar to in-person learning,Sometimes had difficulty accessing office hours,Sometimes,Occassionally,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,Planning on switching,Opportunities were delayed,Yes,Yes,Yes,Yes,Sometimes,Similar to in-person,Grades were similar to in-person learning,Instructions were somewhat clear,Moderately concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Moderate,Good,Moderately stressful,Rarely,Sometimes because of limited hours,Somewhat concerned,Somtimes,In-person,Moderately concerned,NIL
147,Male,27-30,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Science,University of Guelph,Yes,Blackboard,Google Meet,Easy,Somewhat Clear,Sometimes,Difficult to focus,Similar to in-person learning,Home,Similar to in-person,Same effort as in-person learning,Had some difficulty accesssing tutoring services,Few professors posted recorded lectures,Learning curve was similar to in-person learning,Time spent on coursework was similar to in-person learning,Sometimes had difficulty accessing office hours,Sometimes,Occassionally,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Similar to in-person,Grades were similar to in-person learning,Instructions were somewhat clear,Moderately concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Moderate,Good,Moderately stressful,Rarely,Sometimes because of limited hours,Somewhat concerned,Yes,In-person,Extremely concerned,NIL
148,Male,27-30,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Commerce,Lakehead University,Yes,Moodle,Google Meet,Moderate,Somewhat Clear,Yes,Difficult to focus,Similar to in-person learning,Campus,Yes,Less effort than in-person learning,Had some difficulty accesssing tutoring services,Yes,Yes,Time spent on coursework was similar to in-person learning,Sometimes had difficulty accessing office hours,Sometimes,Everytime,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,Planning on switching,Opportunities were delayed,Did not use the services,Yes,Yes,Yes,Yes,Similar to in-person,Yes,Instructions were somewhat clear,Moderately concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Moderate,Good,Moderately stressful,Rarely,Sometimes because of limited hours,Somewhat concerned,Somtimes,Online,Extremely concerned,NIL
150,Female,18-22,Graduate Degree,Domestic,Full time,Year 2,Bachelor of Engineering,University of Toronto,Yes,Canvas,Microsoft Team,Moderate,Yes,Sometimes,Difficult to focus,No,Home,Yes,Greater effort than in-person learning,Yes,Yes,Learning curve was similar to in-person learning,Yes,Yes,Sometimes,Everytime,Sometimes,Yes,Professor had some difficulty,Planning on switching,Opportunities were delayed,Did not use the services,Yes,No,Yes,Yes,Similar to in-person,No,Yes,Moderately concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Everytime,Difficult,Good,Similar to in-person learning,Rarely,Sometimes because of limited hours,Not at all concerned,Somtimes,In-person,Moderately concerned,NIL
179,Male,23-26,Undergraduate Degree,Domestic,Full time,Year 5,Bachelor of Arts,Ontario Tech University,Yes,Moodle,Zoom,Difficult,Yes,Sometimes,Difficult to focus,Similar to in-person learning,Campus,Similar to in-person,Less effort than in-person learning,Yes,Few professors posted recorded lectures,Learning curve was similar to in-person learning,Time spent on coursework was similar to in-person learning,Yes,Sometimes,Occassionally,Sometimes,Yes,Professor had some difficulty,Yes,Opportunities were delayed,Did not use the services,Yes,Yes,No,Sometimes,Too strict,Grades were similar to in-person learning,Instructions were somewhat clear,Moderately concerned,Quality of education was similar to in-person,Yes,Occasionally,Moderate,Excellent,Moderately stressful,Often,Yes,Somewhat concerned,Somtimes,In-person,Extremely concerned,NIL
197,Female,18-22,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Science,University of Toronto,Yes,Canvas,Zoom,Easy,Somewhat Clear,Yes,Similar to in-person,Similar to in-person learning,Home,Similar to in-person,Greater effort than in-person learning,No,Few professors posted recorded lectures,Yes,Time spent on coursework was similar to in-person learning,Sometimes had difficulty accessing office hours,Sometimes,Occassionally,Sometimes,Yes,Professor had some difficulty,No,Yes,Did not use the services,No,No,No,No,Similar to in-person,No,Yes,Not at all concerned,No,Course load was comparable to in-person,Occasionally,Moderate,Good,Extremely stressful,Sometimes,Sometimes because of limited hours,Extremely concerned,No,Hybrid,Extremely concerned,NIL
203,Male,18-22,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Engineering,Ontario Tech University,Yes,Canvas,Google Meet,Moderate,Yes,Sometimes,Difficult to focus,No,Home,Similar to in-person,Less effort than in-person learning,No,Few professors posted recorded lectures,Learning curve was similar to in-person learning,No,Sometimes had difficulty accessing office hours,Sometimes,Occassionally,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,No,Opportunities were delayed,Did not use the services,No,No,No,Yes,Too strict,Grades were similar to in-person learning,Instructions were somewhat clear,Not at all concerned,No,Yes,Occasionally,Difficult,Fair,Similar to in-person learning,Sometimes,No,Somewhat concerned,Yes,Hybrid,Moderately concerned,NIL
208,Male,23-26,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Engineering,Ontario Tech University,Yes,Canvas,Google Meet,Moderate,Yes,Sometimes,Difficult to focus,No,Home,No,Greater effort than in-person learning,NIL,Few professors posted recorded lectures,No,No,Sometimes had difficulty accessing office hours,Sometimes,Occassionally,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,No,Opportunities were delayed,Did not use the services,Yes,NIL,Yes,Yes,Too strict,Yes,Instructions were somewhat clear,Extremelty concerned,Quality of education was similar to in-person,Yes,Occasionally,Difficult,Fair,Extremely stressful,Often,Sometimes because of limited hours,Somewhat concerned,Yes,Online,Moderately concerned,NIL
209,Female,23-26,Undergraduate Degree,Domestic,Full time,Year 3,Bachelor of Engineering,Ontario Tech University,Yes,Canvas,Google Meet,Difficult,Yes,Sometimes,Difficult to focus,No,Campus,Yes,Greater effort than in-person learning,NIL,Few professors posted recorded lectures,Learning curve was similar to in-person learning,Time spent on coursework was similar to in-person learning,Sometimes had difficulty accessing office hours,Sometimes,Occassionally,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,No,No,Did not use the services,No,NIL,No,Sometimes,Too strict,Yes,Instructions were somewhat clear,Moderately concerned,Quality of education was similar to in-person,Yes,Occasionally,Difficult,Poor,Moderately stressful,Sometimes,NIL,Somewhat concerned,Somtimes,Online,Moderately concerned,NIL
223,Male,18-22,Undergraduate Degree,International Student,Full time,Year 3,Bachelor of Science,Queen's University,Yes,Canvas,Google Meet,Easy,Yes,Yes,Easy to focus,Similar to in-person learning,Home,Similar to in-person,Same effort as in-person learning,Had some difficulty accesssing tutoring services,Few professors posted recorded lectures,Learning curve was similar to in-person learning,Time spent on coursework was similar to in-person learning,Sometimes had difficulty accessing office hours,Sometimes,Occassionally,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Similar to in-person,Grades were similar to in-person learning,Instructions were somewhat clear,Moderately concerned,Quality of education was similar to in-person,Course load was comparable to in-person,Occasionally,Easy,Excellent,Extremely stressful,Never,Yes,Not at all concerned,Yes,Online,Extremely concerned,NIL
234,Male,23-26,Undergraduate Degree,Domestic,Full time,Year 3,Bachelor of Engineering,Ontario Tech University,Yes,Canvas,Google Meet,Moderate,Yes,Yes,Difficult to focus,No,Home,No,Greater effort than in-person learning,NIL,Few professors posted recorded lectures,No,No,Sometimes had difficulty accessing office hours,Sometimes,Occassionally,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,No,Opportunities were delayed,Did not use the services,Yes,NIL,Yes,Yes,Too strict,Yes,Instructions were somewhat clear,Extremelty concerned,No,Yes,Occasionally,Difficult,Fair,Extremely stressful,Often,NIL,Somewhat concerned,Yes,In-person,NIL,NIL
235,Female,23-26,Undergraduate Degree,Domestic,Full time,Year 3,Bachelor of Engineering,Ontario Tech University,Yes,Canvas,Google Meet,Moderate,Yes,Sometimes,Difficult to focus,No,Home,No,Greater effort than in-person learning,NIL,Few professors posted recorded lectures,No,Time spent on coursework was similar to in-person learning,Yes,Sometimes,Occassionally,Sometimes,Yes,Professor had some difficulty,No,Opportunities were delayed,NIL,Yes,NIL,No,Yes,Too strict,Yes,Instructions were somewhat clear,Extremelty concerned,No,Yes,Occasionally,Difficult,Fair,Extremely stressful,Often,NIL,Somewhat concerned,Yes,In-person,Moderately concerned,NIL
236,Female,23-26,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Engineering,Ontario Tech University,Yes,Canvas,Google Meet,Moderate,Yes,Sometimes,Difficult to focus,No,Campus,No,Greater effort than in-person learning,Yes,Few professors posted recorded lectures,Learning curve was similar to in-person learning,Time spent on coursework was similar to in-person learning,Yes,Easy,Everytime,Sometimes,Yes,Professor had some difficulty,No,No,Did not use the services,NIL,NIL,NIL,Sometimes,Too strict,Yes,Yes,Extremelty concerned,No,Yes,Occasionally,Difficult,Fair,Moderately stressful,Sometimes,NIL,Somewhat concerned,Somtimes,Online,Not at all concerned,NIL
237,Male,23-26,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Engineering,Ontario Tech University,Yes,Canvas,Google Meet,Moderate,Yes,Sometimes,Difficult to focus,No,Home,Similar to in-person,Greater effort than in-person learning,NIL,Few professors posted recorded lectures,Yes,Time spent on coursework was similar to in-person learning,Yes,Sometimes,Occassionally,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,No,No,Did not use the services,NIL,NIL,No,Yes,Too strict,Yes,Yes,Moderately concerned,Yes,Yes,Occasionally,Moderate,Fair,Extremely stressful,Often,NIL,Somewhat concerned,Somtimes,Online,Not at all concerned,NIL
238,Female,23-26,Undergraduate Degree,Domestic,Full time,Year 4,Bachelor of Engineering,Ontario Tech University,Yes,Canvas,Google Meet,Moderate,Yes,Sometimes,Difficult to focus,Similar to in-person learning,Home,No,Greater effort than in-person learning,NIL,Few professors posted recorded lectures,Learning curve was similar to in-person learning,Time spent on coursework was similar to in-person learning,Sometimes had difficulty accessing office hours,Sometimes,Occassionally,Sometimes,Similar relationship as in-person learning,Professor had some difficulty,No,No,Did not use the services,No,NIL,No,Yes,Too strict,Yes,No,Moderately concerned,Quality of education was similar to in-person,Yes,Occasionally,Moderate,Poor,Moderately stressful,Often,NIL,Somewhat concerned,Somtimes,In-person,NIL,NIL
